timestamp,Z_PK,Z_ENT,Z_OPT,altitude,course,hAccuracy,lat,lng,speed,ZTIMESTAMP,vAccuracy
2015/11/09 19:13:41,152,1,1,17.48080444335938,214.8046875,10,37.77970711238476,-122.4137557392217,4.269999980926514,468904421.972315,4
2015/11/09 21:10:35,153,1,1,77.85696411132812,130.78125,50,37.74835619613319,-122.4897081871726,1.080000042915344,468911435.647178,4
2015/11/09 19:09:03,154,1,1,17.40533638000488,-1,65,37.78735744858638,-122.403547118918,-1,468904143.779997,12.70520768213152
2015/11/09 19:20:08,155,1,1,27.83688354492188,254.8828125,10,37.77391341518403,-122.4247583282389,1.620000004768372,468904808.369256,4
2015/11/09 19:35:16,156,1,1,73.16738891601562,267.0953063964844,10,37.77256256300028,-122.4678883067099,5.75,468905716.157146,3
2015/11/09 19:32:44,157,1,1,74.58364868164062,271.7578125,10,37.77118921283425,-122.4576228485652,5.289999961853027,468905564.35794,3
2015/11/09 19:20:44,158,1,1,38.80523681640625,255.234375,10,37.77368383485616,-122.4262705912091,3.109999895095825,468904844.667335,4
2015/11/09 21:04:59,159,1,1,61.67807006835938,351.2109375,10,37.74638967592059,-122.490922222028,1.259999990463257,468911099.006468,3
2015/11/09 21:10:15,160,1,1,79.81344604492188,227.109375,50,37.74873245976656,-122.4898950197943,1.399999976158142,468911415.963517,4
2015/11/09 19:32:27,161,1,1,75.20425415039062,289.3359375,10,37.7709157951528,-122.456760769824,3.019999980926514,468905547.858872,4
2015/11/09 21:00:02,162,1,1,66.77816772460938,255.234375,10,37.74432232141285,-122.4885612075426,1.509999990463257,468910802.010975,3
2015/11/09 21:02:17,163,1,1,61.89089965820312,4.21875,10,37.74443442936776,-122.4907511473843,1.009999990463257,468910937.490289,3
2015/11/09 19:24:45,164,1,1,53.88168334960938,1.7578125,10,37.77290595233233,-122.4355112203606,3.410000085830688,468905085.564321,3
2015/11/09 20:17:48,165,1,1,70.52499389648438,160.3125,10,37.74535090666054,-122.4888392352708,0.699999988079071,468908268.286103,3
2015/11/09 20:53:19,166,1,1,63.81210327148438,226.40625,10,37.74264723997353,-122.4873761740723,1.460000038146973,468910399.424628,4
2015/11/09 20:06:28,167,1,1,80.24916839599609,-1,200,37.7486031539515,-122.4893603547472,3.545648645282523e-05,468907587.9999664,10
2015/11/09 19:51:33,168,1,1,79.16604614257812,177.2503509521484,10,37.75104577771694,-122.4902490666864,4.960000038146973,468906693.811183,3
2015/11/09 19:48:18,169,1,1,75.39401245117188,181.7578125,10,37.75911998472899,-122.4908394088247,4.519999980926514,468906498.854909,3
2015/11/09 19:45:17,170,1,1,81.76339721679688,259.453125,10,37.75973152838439,-122.4801264983811,5.099999904632568,468906317.35003,3
2015/11/09 19:40:43,171,1,1,68.34640502929688,138.9103546142578,10,37.76607766642046,-122.4783961682988,2.460000038146973,468906043.454293,4
2015/11/09 19:37:35,172,1,1,74.98751831054688,268.521728515625,10,37.77169589253665,-122.4757718756155,5.289999961853027,468905855.059531,4
2015/11/09 20:14:52,173,1,1,74.15481567382812,191.953125,10,37.74726847655861,-122.489886218796,1.529999971389771,468908092.698918,3
2015/11/09 20:20:33,174,1,1,65.39797973632812,171.2109375,10,37.74288796823262,-122.488527847568,1.409999966621399,468908433.638486,3
2015/11/09 21:09:59,175,1,1,81.38815307617188,342.0703125,50,37.74917091712146,-122.4898314011493,6.090000152587891,468911399.406044,4
2015/11/09 19:17:46,176,1,1,19.29080200195312,216.9140625,10,37.77307287793399,-122.422311231608,4.269999980926514,468904666.468493,4
2015/11/09 21:09:36,177,1,1,78.98519897460938,50.2734375,50,37.74857395797758,-122.4898513500788,1.240000009536743,468911376.247806,4
2015/11/09 20:58:39,178,1,1,68.73056030273438,0,10,37.74403369057713,-122.4875272997864,1.820000052452087,468910719.514366,3
2015/11/09 20:43:48,179,1,1,63.66299438476562,290.7421875,10,37.74280628658621,-122.4874501024582,0.4099999964237213,468909828.7231,4
2015/11/09 20:19:27,180,1,1,67.77841186523438,166.9921875,10,37.74394853044091,-122.4885602855333,1.360000014305115,468908367.60138,3
2015/11/09 20:16:38,181,1,1,70.40719604492188,80.859375,10,37.74615162987052,-122.4893045985349,1.929999947547913,468908198.652147,3
2015/11/09 20:13:39,182,1,1,78.22854614257812,157.8515625,10,37.74830058220564,-122.4900046550878,1.379999995231628,468908019.859147,4
2015/11/09 19:59:38,183,1,1,78.10055541992188,313.2421875,10,37.74850300516724,-122.4898975343653,0.4799999892711639,468907178.972762,4
2015/11/09 19:15:20,184,1,1,20.60125732421875,224.5654602050781,10,37.77650089693528,-122.417568474666,2.140000104904175,468904520.97258,4
2015/11/09 19:46:59,185,1,1,76.44149780273438,267.890625,10,37.75943225253165,-122.4870512076863,4.929999828338623,468906419.650171,3
2015/11/09 21:05:12,186,1,1,62.83126831054688,358.59375,10,37.74659092541574,-122.490935549254,1.320000052452087,468911112.214355,3
2015/11/09 19:39:27,187,1,1,74.47988891601562,156.7271728515625,10,37.7693501494,-122.4791724700481,4.980000019073486,468905967.554036,4
2015/11/09 19:23:23,188,1,1,58.96414184570312,261.0152893066406,10,37.77283526457946,-122.4322930487688,2.920000076293945,468905003.068151,4
2015/11/09 19:36:12,189,1,1,71.23403930664062,252.4287414550781,10,37.77075963939199,-122.4717835827323,5.71999979019165,468905772.558318,4
2015/11/09 19:43:51,190,1,1,76.32150268554688,176.7107696533203,10,37.7618346291069,-122.4780799151631,1.110000014305115,468906231.564965,4
2015/11/09 19:50:14,191,1,1,87.18930053710938,175.078125,10,37.75476244281768,-122.4905115925916,5.710000038146973,468906614.36131,3
2015/11/09 21:09:29,192,1,1,78.28341674804688,-1,100,37.74884842339694,-122.4900484924414,-1,468911369.622395,4
2015/11/09 19:31:54,193,1,1,74.76852416992188,195.46875,10,37.77085502635479,-122.455590069408,3.490000009536743,468905514.859407,3
2015/11/09 19:31:38,194,1,1,75.40304565429688,236.953125,10,37.77111997831405,-122.4551187549927,5.809999942779541,468905498.374438,3
2015/11/09 19:22:13,195,1,1,56.64071655273438,253.828125,10,37.77333041190894,-122.4291963783302,2.450000047683716,468904933.768494,3
2015/11/09 19:26:27,196,1,1,62.61099243164062,252.7734375,10,37.77393043044747,-122.4394563307263,4.929999828338623,468905187.862952,3
2015/11/09 19:12:26,197,1,1,12.58853149414062,229.5703125,10,37.78217977382036,-122.4106159621127,4.039999961853027,468904346.071956,3
2015/11/09 19:35:33,198,1,1,73.26272583007812,243.4350280761719,10,37.77231661482417,-122.4690582723997,6.489999771118164,468905733.037467,3
2015/11/09 21:08:36,199,1,1,75.95230102539062,342.421875,10,37.74852123580663,-122.4899278768548,1.350000023841858,468911316.81769,3
2015/11/09 21:00:28,200,1,1,65.63723754882812,276.328125,10,37.74434579074173,-122.4890886807092,1.389999985694885,468910828.409833,3
2015/11/09 20:57:33,201,1,1,64.32095336914062,9.4921875,10,37.74302471898286,-122.4874540419527,1.190000057220459,468910653.576509,4
2015/11/09 20:21:03,202,1,1,63.01473999023438,78.75,10,37.74258060384332,-122.4883016200014,1.230000019073486,468908463.363607,3
2015/11/09 20:18:14,203,1,1,69.89151000976562,180,10,37.7449419536048,-122.4888250698545,1.159999966621399,468908294.827755,3
2015/11/09 20:15:19,204,1,1,71.51095581054688,178.9453125,10,37.74686153515963,-122.4898758252361,0.949999988079071,468908119.219854,3
2015/11/09 20:07:43,205,1,1,79.73147583007812,120.5859375,10,37.74860643785237,-122.4898631685623,0,468907663.064365,3
2015/11/09 19:52:06,206,1,1,81.83981323242188,175.6482238769531,10,37.74967748866933,-122.4901575834519,3.430000066757202,468906726.853238,3
2015/11/09 19:48:48,207,1,1,79.20944213867188,172.265625,10,37.75776991158515,-122.490726756046,4.119999885559082,468906528.550465,3
2015/11/09 19:45:47,208,1,1,79.45236206054688,266.7885131835938,10,37.75961642702723,-122.4819983262205,4.929999828338623,468906347.049718,4
2015/11/09 19:33:30,209,1,1,73.83053588867188,280.9456481933594,10,37.77154988859334,-122.4606796630542,6.5,468905610.580909,3
2015/11/09 19:27:14,210,1,1,67.81393432617188,257.34375,10,37.77340819597037,-122.442003172005,4.5,468905234.363584,3
2015/11/09 19:38:08,211,1,1,74.74166870117188,245.7461090087891,10,37.77126596045974,-122.4778693388362,4.820000171661377,468905888.434332,4
2015/11/09 21:08:03,212,1,1,73.36331176757812,94.21875,10,37.74815184533387,-122.4901143742003,1.330000042915344,468911283.805487,3
2015/11/09 19:18:22,213,1,1,20.38235473632812,265.078125,10,37.77217412836642,-122.4234142062463,2.150000095367432,468904702.785268,4
2015/11/09 19:42:35,214,1,1,66.54782104492188,176.9768676757812,10,37.76468724107383,-122.4782827978197,3.680000066757202,468906155.702332,3
2015/11/09 19:12:52,215,1,1,15.14312744140625,229.21875,10,37.78108748610856,-122.4120646902569,4.639999866485596,468904372.500049,4
2015/11/09 21:03:33,216,1,1,62.66567993164062,345.9375,10,37.74550936654,-122.4908468687185,1.299999952316284,468911013.212231,3
2015/11/09 21:07:34,217,1,1,71.30007934570312,100.8984375,10,37.74809736296325,-122.49060781684,1.070000052452087,468911254.108023,3
2015/11/09 19:21:37,218,1,1,49.20382690429688,271.0546875,10,37.77354381516368,-122.4279453792818,2.470000028610229,468904897.468062,3
2015/11/09 19:29:16,219,1,1,73.22024536132812,243.28125,10,37.77243635620714,-122.448726547996,5.070000171661377,468905356.462873,3
2015/11/09 19:16:59,220,1,1,19.20950317382812,219.7265625,10,37.77489061936529,-122.4199140911199,6.329999923706055,468904619.973705,4
2015/11/09 19:30:55,221,1,1,77.03671264648438,248.5546875,10,37.77145730800719,-122.4541245774575,2.420000076293945,468905455.459297,3
2015/11/09 21:06:57,222,1,1,68.64334106445312,350.859375,10,37.7479706285873,-122.4910468609282,1.029999971389771,468911217.805595,3
2015/11/09 20:47:52,223,1,1,62.75824356079102,-1,200,37.74245312426104,-122.4871596810335,1.719476712753757,468910072.9975356,10
2015/11/09 20:19:54,224,1,1,65.89981079101562,169.8046875,10,37.74349167480855,-122.4885482994118,1.519999980926514,468908394.0107,3
2015/11/09 21:03:16,225,1,1,62.31332397460938,2.4609375,10,37.74530413564084,-122.4908298534551,1.75,468910996.709361,3
2015/11/09 20:17:08,226,1,1,72.71804809570312,200.7421875,10,37.74599249943881,-122.4889085536101,1.559999942779541,468908228.34986,3
2015/11/09 20:00:21,227,1,1,77.63650512695312,185.625,50,37.74829379286408,-122.4896190037229,0,468907221.858057,4
2015/11/09 19:50:44,228,1,1,77.35946655273438,176.7509307861328,10,37.75333359962533,-122.4903874257143,4.96999979019165,468906644.050892,3
2015/11/09 19:47:29,229,1,1,73.00564575195312,322.734375,10,37.75941351897806,-122.4886234012642,2.460000038146973,468906449.350912,3
2015/11/09 19:23:52,230,1,1,54.17007446289062,260.7422485351562,10,37.77264373146695,-122.433779644125,2.220000028610229,468905032.767723,4
2015/11/09 19:39:57,231,1,1,65.82632446289062,157.1095123291016,10,37.76767809814958,-122.4796514578338,6.389999866485596,468905997.256407,4
2015/11/09 19:19:12,232,1,1,26.20391845703125,354.375,10,37.77385792698504,-122.4237222411879,2.680000066757202,468904752.271245,3
2015/11/09 19:36:42,233,1,1,74.40176391601562,294.1714477539062,10,37.77109896033635,-122.4735037308164,3.950000047683716,468905802.262508,4
2015/11/09 19:44:31,234,1,1,85.07351684570312,178.59375,10,37.7603835566321,-122.4780818169214,3.240000009536743,468906271.229433,3
2015/11/09 19:13:55,235,1,1,17.07418823242188,223.2421875,10,37.77932967528494,-122.4141972140618,3.720000028610229,468904435.172344,3
2015/11/09 20:14:12,236,1,1,76.23477172851562,170.5078125,10,37.74788152895658,-122.4899345823773,1.450000047683716,468908052.850657,4
2015/11/09 20:59:15,237,1,1,69.36752319335938,272.8125,10,37.74434524591802,-122.4877767452248,1.669999957084656,468910755.901751,3
2015/11/09 19:16:33,238,1,1,19.02474975585938,223.59375,10,37.7755204355696,-122.4190194067754,3.970000028610229,468904593.572926,4
2015/11/09 19:22:46,239,1,1,60.59432983398438,266.8359375,10,37.77318687181712,-122.4306450226553,3.910000085830688,468904966.768132,4
2015/11/09 21:06:24,240,1,1,67.03189086914062,358.9453125,10,37.74756343573122,-122.4909953960427,1.419999957084656,468911184.872576,3
2015/11/09 19:27:01,241,1,1,66.62820434570312,258.3984375,10,37.77356124952228,-122.44123664696,4.789999961853027,468905221.163039,3
2015/11/09 19:10:37,242,1,1,13.54425048828125,224.8135986328125,10,37.78493025955147,-122.4070572471156,6.179999828338623,468904237.173183,3
2015/11/09 19:33:00,243,1,1,74.94387817382812,271.0546875,10,37.77128828692974,-122.4585047924169,3.759999990463257,468905580.873034,4
2015/11/09 21:05:51,244,1,1,63.90554809570312,346.2890625,10,37.74714203554927,-122.4909699150571,1.440000057220459,468911151.837974,3
2015/11/09 19:26:11,245,1,1,61.26242065429688,262.96875,10,37.77396953202577,-122.4385003746696,5.389999866485596,468905171.363765,3
2015/11/09 20:57:56,246,1,1,66.51712036132812,352.6171875,10,37.74342365566431,-122.4874145631888,1.529999971389771,468910676.714367,3
2015/11/09 20:21:33,247,1,1,64.20401000976562,63.28125,10,37.74263445757119,-122.4877360091754,1.139999985694885,468908493.048465,3
2015/11/09 20:18:41,248,1,1,70.37844848632812,187.734375,10,37.7445907099524,-122.48871291999,1.059999942779541,468908321.344096,3
2015/11/09 20:15:49,249,1,1,69.70358276367188,178.2421875,10,37.74647952992259,-122.4899498374411,1.580000042915344,468908149.099697,3
2015/11/09 20:10:01,250,1,1,79.51205444335938,35.15625,30,37.74859399072616,-122.4896727317222,1.960000038146973,468907801.768749,4
2015/11/09 19:52:43,251,1,1,82.69528198242188,175.6482238769531,10,37.7486865353551,-122.4900622111454,2.640000104904175,468906763.176513,3
2015/11/09 19:49:21,252,1,1,84.84133911132812,180.3515625,10,37.75653907101393,-122.4906412606337,3.660000085830688,468906561.549608,3
2015/11/09 19:46:13,253,1,1,78.13528442382812,266.7214050292969,10,37.75952988588073,-122.4839278632498,6.369999885559082,468906373.450057,4
2015/11/09 19:18:59,254,1,1,25.62890625,355.078125,10,37.77317790318073,-122.4235724565782,4.420000076293945,468904739.071138,3
2015/11/09 19:38:34,255,1,1,72.35623168945312,246.2973785400391,10,37.77059616554562,-122.4796082753164,3.680000066757202,468905914.758158,4
2015/11/09 19:28:17,256,1,1,69.25564575195312,271.40625,10,37.77301642581613,-122.4456495513417,5.170000076293945,468905297.06295,3
2015/11/09 19:43:05,257,1,1,68.40640258789062,176.8420562744141,10,37.7635304608887,-122.4782027650508,3.009999990463257,468906185.356572,4
2015/11/09 19:27:47,258,1,1,68.67807006835938,254.1796875,10,37.77318377051295,-122.4437317718961,4.699999809265137,468905267.367644,3
2015/11/09 19:10:20,259,1,1,14.98123168945312,215.5078125,10,37.78557905465158,-122.4062634074338,5.440000057220459,468904220.679213,4
2015/11/09 21:11:15,260,1,1,79.04354858398438,312.890625,30,37.74891049138992,-122.4900330697396,0.75,468911475.303624,4
2015/11/09 19:09:27,261,1,1,16.16885375976562,222.890625,10,37.78711755297872,-122.4041784928389,3.990000009536743,468904167.871436,4
2015/11/09 19:14:34,262,1,1,20.67709350585938,260.8111572265625,10,37.77882155398554,-122.4153425571421,6.099999904632568,468904474.772574,4
2015/11/09 19:17:29,263,1,1,18.70977783203125,261.98291015625,10,37.77369499579249,-122.4216070350667,6.210000038146973,468904649.984496,4
2015/11/09 21:01:47,264,1,1,61.62088012695312,277.734375,10,37.74421926591335,-122.4904455431946,1,468910907.609376,3
2015/11/09 19:09:44,265,1,1,15.56854248046875,240.8203125,10,37.78665252499076,-122.4049978238739,4.860000133514404,468904184.371895,4
2015/11/09 21:11:05,266,1,1,80.29031372070312,270,50,37.74870706259995,-122.4897454866418,0.5400000214576721,468911465.406153,4
2015/11/09 19:25:38,267,1,1,60.31600952148438,267.5390625,10,37.77422538962008,-122.4368082360573,3.869999885559082,468905138.365353,3
2015/11/09 20:59:45,268,1,1,69.02108764648438,271.0546875,10,37.74433166723488,-122.4883065653243,1.610000014305115,468910785.531216,3
2015/11/09 20:48:03,269,1,1,63.95791625976562,200.7421875,30,37.74283641952811,-122.4872815423854,0.5099999904632568,468910083.064821,3
2015/11/09 19:24:29,270,1,1,53.81503295898438,261.2109375,10,37.7725654794255,-122.435195054973,2.619999885559082,468905069.062924,4
2015/11/09 20:17:34,271,1,1,70.57388305664062,170.15625,5,37.74556288499175,-122.4888536521443,1.529999971389771,468908254.968886,3
2015/11/09 20:14:39,272,1,1,75.39126586914062,150.46875,10,37.74749114181636,-122.4898504280695,0.8299999833106995,468908079.349927,3
2015/11/09 20:06:03,273,1,1,76.92950439453125,-1,200,37.74815738961771,-122.4894208216467,0.1964551234190886,468907562.9999667,10
2015/11/09 19:51:17,274,1,1,78.46456909179688,177.7065277099609,10,37.75178138274269,-122.4902936158469,3.119999885559082,468906677.052374,3
2015/11/09 19:48:02,275,1,1,73.48416137695312,269.6484375,10,37.75932039603382,-122.4902857841202,3.869999885559082,468906482.352054,4
2015/11/09 19:45:04,276,1,1,83.18032836914062,264.375,10,37.75982293303847,-122.4792336580553,5.289999961853027,468906304.151675,3
2015/11/09 19:40:26,277,1,1,67.06497192382812,147.8148498535156,10,37.76664328944947,-122.4789553473238,3.630000114440918,468906026.95439,4
2015/11/09 19:37:21,278,1,1,73.37124633789062,293.0615234375,10,37.77156870910809,-122.4748079934216,4.360000133514404,468905841.862246,4
2015/11/09 20:20:20,279,1,1,64.87490844726562,181.7578125,10,37.74308209311007,-122.4885449466505,3.299999952316284,468908420.345536,3
2015/11/09 21:03:03,280,1,1,63.30648803710938,358.9453125,10,37.74508008736907,-122.4908372295298,1.389999985694885,468910983.532346,3
2015/11/09 21:10:45,281,1,1,79.91525268554688,1.40625,50,37.7486136462891,-122.4896682054945,1.350000023841858,468911445.506663,4
2015/11/09 19:20:28,282,1,1,32.96304321289062,312.1875,10,37.77384351011158,-122.4255010486789,0.8999999761581421,468904828.168533,6
2015/11/09 19:28:30,283,1,1,71.69802856445312,242.578125,10,37.77282955128492,-122.4463640247681,4.809999942779541,468905310.2627,3
2015/11/09 21:10:25,284,1,1,78.62057495117188,164.53125,50,37.74850480727642,-122.4898846262344,1.320000052452087,468911425.705278,4
2015/11/09 21:00:41,285,1,1,64.14010620117188,265.4296875,10,37.74434893395541,-122.489344412575,1.120000004768372,468910841.633137,3
2015/11/09 21:04:19,286,1,1,62.97067260742188,345.5859375,10,37.74619165345816,-122.4908718467899,1.509999990463257,468911059.475964,3
2015/11/09 20:58:26,287,1,1,68.37448120117188,354.0234375,10,37.74381844330369,-122.4874859770038,1.789999961853027,468910706.336722,3
2015/11/09 20:22:02,288,1,1,64.49331665039062,102.65625,30,37.74270704485266,-122.487227562929,1.299999952316284,468908522.757936,4
2015/11/09 20:19:11,289,1,1,67.91250610351562,204.609375,10,37.74414730727462,-122.4886219763406,1.279999971389771,468908351.04559,3
2015/11/09 20:16:22,290,1,1,69.56588745117188,135,10,37.746166130563,-122.489608693982,1.450000047683716,468908182.151125,3
2015/11/12 21:34:57,291,1,1,10.58935451507568,-1,65,37.78577761864241,-122.4029643808528,-1,469172097.806517,10
2015/11/12 21:35:11,292,1,1,15.11740112304688,238.7109375,5,37.78581634633036,-122.4035569747187,0,469172111.0492,4
2015/11/12 21:40:24,293,1,1,15.11044311523438,339.609375,30,37.78625342067125,-122.403372740487,3.559999942779541,469172424.536143,4
2015/11/12 21:40:57,294,1,1,16.31002807617188,0.703125,10,37.78677930127623,-122.4034816214092,0.6299999952316284,469172457.510948,4
2015/11/12 21:41:17,295,1,1,16.379638671875,194.765625,10,37.78691336981746,-122.4030737580009,1.509999990463257,469172477.30805,4
2015/11/12 21:41:37,296,1,1,18.33966064453125,0.703125,10,37.7874716464782,-122.4033453316636,3.75,469172497.108486,4
2015/11/12 21:42:29,297,1,1,23.3656005859375,238.359375,10,37.78727940752896,-122.4043126032896,4.53000020980835,469172549.905638,4
2015/11/12 21:42:43,298,1,1,19.92218017578125,175.4296875,30,37.78680951803717,-122.4043842685618,2.009999990463257,469172563.128323,4
2015/11/12 21:43:02,299,1,1,19.46243286132812,217.6171875,10,37.78646686583551,-122.4050028530158,6.199999809265137,469172582.904307,4
2015/11/12 21:43:19,300,1,1,17.79135131835938,233.0859375,10,37.78583340350332,-122.4059444760181,6.510000228881836,469172599.572459,4
2015/11/12 21:43:32,301,1,1,17.0682373046875,225.4754791259766,10,37.78540009460384,-122.4063033660786,4.800000190734863,469172612.622178,4
